gender,age_years,age_months,sd_minus_3,sd_minus_2,sd_minus_1,median,sd_plus_1,sd_plus_2,sd_plus_3
male,5,1,12.1,13.0,14.1,15.3,16.6,18.3,20.2
male,5,2,12.1,13.0,14.1,15.3,16.6,18.3,20.2
male,5,3,12.1,13.0,14.1,15.3,16.7,18.3,20.2
male,5,4,12.1,13.0,14.1,15.3,16.7,18.3,20.3
male,5,5,12.1,13.0,14.1,15.3,16.7,18.3,20.3
male,5,6,12.1,13.0,14.1,15.3,16.7,18.4,20.4
male,5,7,12.1,13.0,14.1,15.3,16.7,18.4,20.4
male,5,8,12.1,13.0,14.1,15.3,16.7,18.4,20.5
male,5,9,12.1,13.0,14.1,15.3,16.7,18.4,20.5
male,5,10,12.1,13.0,14.1,15.3,16.7,18.5,20.6
male,5,11,12.1,13.0,14.1,15.3,16.7,18.5,20.6
male,6,0,12.1,13.0,14.1,15.3,16.8,18.5,20.7
male,6,1,12.1,13.0,14.1,15.3,16.8,18.6,20.8
male,6,2,12.2,13.1,14.1,15.3,16.8,18.6,20.8
male,6,3,12.2,13.1,14.1,15.3,16.8,18.6,20.9
male,6,4,12.2,13.1,14.1,15.4,16.8,18.7,21.0
male,6,5,12.2,13.1,14.1,15.4,16.9,18.7,21.0
male,6,6,12.2,13.1,14.1,15.4,16.9,18.7,21.1
male,6,7,12.2,13.1,14.1,15.4,16.9,18.8,21.2
male,6,8,12.2,13.1,14.2,15.4,16.9,18.8,21.3
male,6,9,12.2,13.1,14.2,15.4,17.0,18.9,21.3
male,6,10,12.2,13.1,14.2,15.4,17.0,18.9,21.4
male,6,11,12.2,13.1,14.2,15.5,17.0,19.0,21.5
male,7,0,12.2,13.1,14.2,15.5,17.0,19.0,21.6
male,7,1,12.3,13.2,14.2,15.5,17.1,19.1,21.7
male,7,2,12.3,13.2,14.2,15.5,17.1,19.1,21.8
male,7,3,12.3,13.2,14.2,15.5,17.1,19.2,21.9
male,7,4,12.3,13.2,14.3,15.6,17.2,19.2,21.9
male,7,5,12.3,13.2,14.3,15.6,17.2,19.3,22.0
male,7,6,12.3,13.2,14.3,15.6,17.2,19.3,22.1
male,7,7,12.3,13.2,14.3,15.6,17.3,19.4,22.2
male,7,8,12.3,13.2,14.3,15.6,17.3,19.4,22.4
male,7,9,12.4,13.3,14.3,15.7,17.3,19.5,22.5
male,7,10,12.4,13.3,14.4,15.7,17.4,19.6,22.6
male,7,11,12.4,13.3,14.4,15.7,17.4,19.6,22.7
male,8,0,12.4,13.3,14.4,15.7,17.4,19.7,22.8
male,8,1,12.4,13.3,14.4,15.8,17.5,19.7,22.9
male,8,2,12.4,13.3,14.4,15.8,17.5,19.8,23.0
male,8,3,12.4,13.3,14.4,15.8,17.5,19.9,23.1
male,8,4,12.4,13.4,14.5,15.8,17.6,19.9,23.3
male,8,5,12.5,13.4,14.5,15.9,17.6,20.0,23.4
male,8,6,12.5,13.4,14.5,15.9,17.7,20.1,23.5
male,8,7,12.5,13.4,14.5,15.9,17.7,20.1,23.6
male,8,8,12.5,13.4,14.5,15.9,17.7,20.2,23.8
male,8,9,12.5,13.4,14.6,16.0,17.8,20.3,23.9
male,8,10,12.5,13.5,14.6,16.0,17.8,20.3,24.0
male,8,11,12.5,13.5,14.6,16.0,17.9,20.4,24.2
male,9,0,12.6,13.5,14.6,16.0,17.9,20.5,24.3
male,9,1,12.6,13.5,14.6,16.1,18.0,20.5,24.4
male,9,2,12.6,13.5,14.7,16.1,18.0,20.6,24.6
male,9,3,12.6,13.5,14.7,16.1,18.0,20.7,24.7
male,9,4,12.6,13.6,14.7,16.2,18.1,20.8,24.9
male,9,5,12.6,13.6,14.7,16.2,18.1,20.8,25.0
male,9,6,12.7,13.6,14.8,16.2,18.2,20.9,25.1
male,9,7,12.7,13.6,14.8,16.3,18.2,21.0,25.3
male,9,8,12.7,13.6,14.8,16.3,18.3,21.1,25.5
male,9,9,12.7,13.7,14.8,16.3,18.3,21.2,25.6
male,9,10,12.7,13.7,14.9,16.4,18.4,21.2,25.8
male,9,11,12.8,13.7,14.9,16.4,18.4,21.3,25.9
male,10,0,12.8,13.7,14.9,16.4,18.5,21.4,26.1
male,10,1,12.8,13.8,15.0,16.5,18.5,21.5,26.2
male,10,2,12.8,13.8,15.0,16.5,18.6,21.6,26.4
male,10,3,12.8,13.8,15.0,16.6,18.6,21.7,26.6
male,10,4,12.9,13.8,15.0,16.6,18.7,21.7,26.7
male,10,5,12.9,13.9,15.1,16.6,18.8,21.8,26.9
male,10,6,12.9,13.9,15.1,16.7,18.8,21.9,27.0
male,10,7,12.9,13.9,15.1,16.7,18.9,22.0,27.2
male,10,8,13.0,13.9,15.2,16.8,18.9,22.1,27.4
male,10,9,13.0,14.0,15.2,16.8,19.0,22.2,27.5
male,10,10,13.0,14.0,15.2,16.9,19.0,22.3,27.7
male,10,11,13.0,14.0,15.3,16.9,19.1,22.4,27.9
male,11,0,13.1,14.1,15.3,16.9,19.2,22.5,28.0
male,11,1,13.1,14.1,15.3,17.0,19.2,22.5,28.2
male,11,2,13.1,14.1,15.4,17.0,19.3,22.6,28.4
male,11,3,13.1,14.1,15.4,17.1,19.3,22.7,28.5
male,11,4,13.2,14.2,15.5,17.1,19.4,22.8,28.7
male,11,5,13.2,14.2,15.5,17.2,19.5,22.9,28.8
male,11,6,13.2,14.2,15.5,17.2,19.5,23.0,29.0
male,11,7,13.2,14.3,15.6,17.3,19.6,23.1,29.2
male,11,8,13.3,14.3,15.6,17.3,19.7,23.2,29.3
male,11,9,13.3,14.3,15.7,17.4,19.7,23.3,29.5
male,11,10,13.3,14.4,15.7,17.4,19.8,23.4,29.6
male,11,11,13.4,14.4,15.7,17.5,19.9,23.5,29.8
male,12,0,13.4,14.5,15.8,17.5,19.9,23.6,30.0
male,12,1,13.4,14.5,15.8,17.6,20.0,23.7,30.1
male,12,2,13.5,14.5,15.9,17.6,20.1,23.8,30.3
male,12,3,13.5,14.6,15.9,17.7,20.2,23.9,30.4
